brand, product_price, product_name, shipping_price
GIGABYTE,67.99,GIGABYTE A520M S2H mATX AM4 4+3 Phases Digital PWM| GIGABYTE Gaming GbE LAN| NVMe PCIe 3.0 x4 M.2| 3 Display Interfaces| Q-Flash Plus| RGB Fusion 2.0| Motherboard,2.99
yeston,109,Yeston GeForce GT730 4GB DDR3 Graphics cards Nvidia PCI Express 2.0 Desktop computer PC DVI-D +VGA+ HDMI-compatible video gaming graphics card,0
yeston,599,Yeston GeForce GTX 1660 Ti-6G  GDDR6  6GB 192Bit  Graphics cards Nvidia pci express x16 3.0 Desktop computer PC video gaming graphics card,0
yeston,109,Yeston GeForce GT730 4GB DDR3 Graphics cards Nvidia PCI Express 2.0 Desktop computer PC DVI-D +VGA+ HDMI-compatible video gaming graphics card,0
yeston,199,Yeston Radeon R7 350-4G 6miniDP 4GB 128bit GDDR5 700MHz 512processors PCIExpress 3.0*16 6 Screen Graphics Card DirectX12 6*Mini Displayport graphics card of Desktop,0
yeston,199,Yeston Radeon RX550 4GB GDDR5 1183MHz 512processors PCIExpress 3.0 DirectX12 Single Slot 4*HDMI compatible graphics card of Desktop,0
yeston,159,Yeston GeForce GT 1030 4GB DDR4 Graphics cards Nvidia pci express 3.0 Desktop computer PC video gaming graphics card,0
yeston,1599,Yeston Radeon RX6800 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible graphics card,7.15
GIGABYTE,628.69,GIGABYTE Radeon RX 6600 EAGLE 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 128-bit GDDR6| GV-R66EAGLE-8GD Video Card,49.99
ASUS,634.51,ASUS Dual GeForce RTX 2060 Advanced OC EVO Graphics Card 6GB 192-Bit GDDR6 PCIe 3.0 x16 DirectX 12 HDCP Ready Auto-Extreme Technology 1x DVI-D 2X HDMI 2.0b 1x DisplayPort 1.4|(DUAL-RTX2060-O6G-EVO),49.99
yeston,149,Yeston GT730 4GB GDDR3  128bit  PCIExpress 2.0 DirectX11 Single Slot 4*HDMI compatible graphics card of Desktop,0
yeston,189,Yeston Radeon RX550 4GB GDDR5 1183MHz 512processors PCIExpress 3.0 DirectX12 Single Slot DP+HDMI compatible +DVI-D graphics card of Desktop,0
yeston,235,Yeston Radeon R7 350-4G 6HDMI 4GB 128bit GDDR5 800MHz 512processors PCIExpress 3.0*16 6 Screen Graphics Card | DirectX12 6*HDMI compatible graphics card of Desktop,0
GIGABYTE,870.48,GIGABYTE GeForce RTX 3060 VISION OC 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060VISION OC-12GD Video Card,0
ASUS,1667.86,ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0| 10GB GDDR6X| LHR| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| Military-grade Certification| GPU Tweak II),0
ASUS,671.18,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),0
ASUS,325,ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G),0
ZOTAC,334.99,ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card| Super Compact| ZT-T16520F-10L,0
yeston,169,Yeston GeForce GT 1030 4GB DDR4 LP Graphics cards Nvidia pci express 3.0 Included Low Profile Bracket Single slot graphics card Desktop computer PC video gaming graphics card,0
ASRock,1499.99,ASRock Radeon RX 6900 XT PHANTOM GAMING D Graphics Card 16GB GDDR6| AMD RDNA2 (RX6900XT PGD 16GO),9.99
ASUS,1051.99,ASUS ROG Strix NVIDIA GeForce RTX 3060 Ti V2 OC Edition Gaming Graphics Card (PCIe 4.0| 8GB GDDR6| LHR| HDMI 2.1| DisplayPort 1.4a| Axial-tech Fan Design| 2.9-slot| Super Alloy Power II| GPU Tweak II),0
ASUS,2612.83,ASUS ROG Strix NVIDIA GeForce RTX 3080 Ti OC Edition Gaming Graphics Card (PCIe 4.0| 12GB GDDR6X| HDMI 2.1| Axial-tech Fan Design| 2.9-Slot| Super Alloy Power II| ASUS Auto-Extreme Technology),49.99
GIGABYTE,NULLNULL,GIGABYTE Radeon RX 6600 XT GAMING OC PRO 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 128-bit GDDR6| GV-R66XTGAMINGOC PRO-8GD Video Card,
ASUS,599.71,ASUS Gaming GeForce GTX 1660 SUPER Overclocked 6GB Dual-fan Edition HDMI DP DVI Gaming Graphics Card (GTX1660S-O6G-GAMING),49.99
GIGABYTE,791.18,GIGABYTE GeForce RTX 3060 EAGLE 12G Graphics Card| 2 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060EAGLE OC-12GD (rev. 2.0) (LHR) Video Card,0
